item_type,title,creators,first_name,last_name,ean_isbn13,upc_isbn10,description,publisher,publish_date,group,tags,notes,price,length,number_of_discs,number_of_players,age_group,ensemble,aspect_ratio,esrb,rating,review,review_date,status,began,completed,added,copies
book,"The Quantum Universe: Everything that can happen does happen","Brian Cox, Jeff Forshaw",Brian,Cox,9780241952702,0241952700,"From the bestselling authors of Why does E=mc2?&quot; comes &quot;The Quantum Universe&quot;, in which Brian Cox, presenter of the BBC&#039;s &quot;Wonders of the Solar System&quot; and &quot;Wonders of the Universe&quot;, and Jeff Forshaw go on a brilliantly ambitious mission to show that everyone can understand the deepest questions of science. This Top Ten bestseller now contains an updated chapter on the remarkable progress in the search for the Higgs boson particle. But just what is quantum physics? How does it help us understand our amazing world? Where does it leave Newton and Einstein? And why, above all, can we be sure that the theory is good? Here, Brian Cox and Jeff Forshaw give us the real science behind the bizarre behaviour of the atoms and energy that make up the universe, and reveal exactly how everything that can happen, does happen.&quot;",Penguin,2012-06-21,,"physics, science",,,272,,,,,,,,,,,,,2016-08-12,1
book,"Higgs: The invention and discovery of the 'God Particle'",,,,9780199679577,0199679576,"Higgs The hunt for the Higgs particle involved the biggest, most expensive experiment ever. Finally, on 4 July 2012, CERN made the momentous announcement that a Higgs-like particle had been discovered. Here, Jim Baggott explains the science behind the discovery, how the theory was developed, and its implications for the future. Full description","OUP Oxford",2013-06-06,,"physics, science",,,304,,,,,,,,,,,,,2016-08-12,1
book,"The Unexpected Professor: An Oxford Life in Books","John Carey",John,Carey,9780571310937,0571310931,"Best known for his provocative take on cultural issues in The Intellectuals and the Masses and What Good Are the Arts?, John Carey describes in this warm and funny memoir the events that formed him - an escape from the London blitz to an idyllic rural village, army service in Egypt, an open scholarship to Oxford and an academic career that saw him elected, age 40, to Oxford's oldest English Literature professorship. He frankly portrays the snobberies and rituals of 1950s Oxford, but also his inspiring meetings with writers and poets - Auden, Graves, Larkin, Heaney - and his forty-year stint as a lead book-reviewer for the Sunday Times. This is a book about the joys of reading - in effect, an informal introduction to the great works of English literature. But it is also about war and family, and how an unexpected background can give you the insight and the courage to say the unexpected thing.","Faber &amp; Faber",2015-03-05,,"history, literature, memoir",,,384,,,,,,,,,,,,,2016-08-12,1
book,Evariste,"François-Henri Désérable",François-Henri,Désérable,9782070147045,2070147045,,"Editions Gallimard",2014-12-31,,"biography, france, history",,,,,,,,,,,,,,,,2016-08-12,1
book,"The Coming of the Third Reich: How the Nazis Destroyed Democracy and Seized Power in Germany","Richard J. Evans",Richard,Evans,9780141009759,0141009756,"Title: Coming of the Third Reich Binding: Paperback Author: Richard J. Evans Publisher: PENGUIN GROUP",Penguin,2004-08-05,"Third reich history","europe, germany, history",,,656,,,,,,,,,,,,,2016-08-12,1
book,"The Third Reich in Power, 1933 - 1939: How the Nazis Won Over the Hearts and Minds of a Nation","Richard J. Evans",Richard,Evans,9780141009766,0141009764,"Title: Third Reich in Power, 1933-1939 Binding: Paperback Author: Richard J Evans Publisher: PENGUIN GROUP",Penguin,2006-05-25,"Third reich history","europe, germany, history",,,960,,,,,,,,,,,,,2016-08-12,1
book,"The Third Reich at War: How the Nazis Led Germany from Conquest to Disaster","Richard J. Evans",Richard,Evans,9780141015484,0141015489,"Title: Third Reich at War Binding: Paperback Author: Richard J Evans Publisher: PENGUIN GROUP",Penguin,2009-09-03,"Third reich history","europe, germany, history",,,944,,,,,,,,,,,,,2016-08-12,1
book,"The Ascent of Money: A Financial History of the World","Niall Ferguson",Niall,Ferguson,9780718194000,0718194004,"Paperback. Pub Date :2012-04-05 Pages: 448 Language: English Publisher: Penguin Books From the bestselling author of Empire. Niall Fergusons The Ascent of Money: A Financial History of the World shows that the history of money is the back- story to all history.Bread. cash. dosh. dough. loot. Call it what you like. it matters now more than ever.From the banking dynasty who funded the Italian Renaissance to the stock market bubble that caused the French Revolution. this is the story of booms and busts as its never been told before.With the world in the grip of the biggest financial crisis since the Great Depression. theres never been a better time to understand the ascent - and descent - of money.",Penguin,2012-04-05,,"economics, history",,,448,,,,,,,,,,,,,2016-08-12,1
book,"Perilous Question: The Drama of the Great Reform Bill 1832","Lady Antonia Fraser",Lady,Fraser,9780753829226,0753829223,"The two-year revolution that totally changed how Britain is governed. Internationally bestselling historian Antonia Fraser's new book brilliantly evokes one year of pre-Victorian political and social history - the passing of the Great Reform Bill of 1832. For our inconclusive times, there is an attractive resonance with 1832, with its 'rotten boroughs' of Old Sarum and the disappearing village of Dunwich, and its lines of most resistance to reform. This book is character-driven - on the one hand, the reforming heroes are the Whig aristocrats Lord Grey, Lord Althorp and Lord John Russell, and the Irish orator Daniel O'Connell. They included members of the richest and most landed Cabinet in history, yet they were determined to bring liberty, which whittled away their own power, to the country. The all-too-conservative opposition comprised Lord Londonderry, the Duke of Wellington, the intransigent Duchess of Kent and the consort of the Tory King William IV, Queen Adelaide. Finally, there were 'revolutionaries' and reformers, like William Cobbett, the author of RURAL RIDES. This is a book that features one eventful year, much of it violent. There were riots in Bristol, Manchester and Nottingham, and wider themes of Irish and 'negro emancipation' underscore the narrative. The time-span of the book is from Wellington's intractable declaration in November 1830 that 'The beginning of reform is the beginning of revolution', to 7th June 1832, the date of the extremely reluctant royal assent by William IV to the Great Reform Bill, under the double threat of the creation of 60 new peers in the House of Lords and the threat of revolution throughout the country. These events led to a total change in the way Britain was governed, a two-year revolution that Antonia Fraser brings to vivid dramatic life.",W&amp;N,2014-05-08,,"britain, history, politics",,,448,,,,,,,,,,,,,2016-08-12,1
book,"The End of History and the Last Man","Francis Fukuyama",Francis,Fukuyama,9780241960240,024196024X,"Boldly outlining the challenges and problems to face modern liberal democracies, the author examines what had just happened and then speculates what was going to come next. He tackles religious fundamentalism, politics, scientific progress, ethical codes, and war.",Penguin,2012-10-04,,politics,,,448,,,,,,,,,,,,,2016-08-12,1
book,"Team of Rivals: Lincoln Film Tie-in Edition","Doris Kearns Goodwin",Doris,Goodwin,9780241966082,0241966086,"Paperback. Pub Date :2012-11-29 Pages: 944 Language: English Publisher: Penguin Group The bestselling and prize-winning study of one of the most legendary American Presidents in history. Team of Rivals by Doris Kearns Goodwin is the book that inspired Barack Obama in his presidency.When Barack Obama was asked which book he could not live without in the White House. his answer was instant: Team of Rivals. This monumental and brilliant work has given Obama the model for his presidency. showing how Abraham Lincoln saved America by appointing his fiercest rival to key cabinet positions. As well as a thrilling piece of narrative history. its an inspiring study of one of the greatest leaders the world has ever seen.Acclaimed historian Doris Kearns Goodwin illuminates Lincolns political genius in this highly original work. as the one-term congressman and prairie lawyer rises from o...",Penguin,2012-11-29,,"america, history",,,944,,,,,,,,,,,,,2016-08-12,1
book,"Alan Turing: The Enigma: The Book That Inspired the Film The Imitation Game","Andrew Hodges",Andrew,Hodges,9781784700089,1784700088,,Vintage,2014-11-13,,"biography, science",,,768,,,,,,,,,,,,,2016-08-12,1
book,"A History of the Arab Peoples","Albert Hourani",Albert,Hourani,9780571288014,0571288014,"In a bestselling work of profound and lasting importance, the late Albert Hourani told the definitive history of the Arab peoples from the seventh century, when the new religion of Islam began to spread from the Arabian peninsula westwards, to the present day. It is a masterly distillation of a lifetime of scholarship and a unique insight into a perpetually troubled region.This updated edition by Malise Ruthven adds a substantial new chapter which includes recent events such as 9/11, the US invasion of Iraq and its bloody aftermath, the fall of the Mubarak and Ben Ali regimes in Egypt and Tunisia, and the incipient civil war in Syria, bringing Hourani&#039;s magisterial History up to date. Ruthven suggests that while Hourani can hardly have been expected to predict in detail the massive upheavals that have shaken the Arab world recently he would not have been entirely surprised, given the persistence of the kin-patronage networks he describes in his book and the challenges now posed to them by a new media-aware generation of dissatisfied youth.In a new biographical preface, Malise Ruthven shows how Hourani&#039;s perspectives on Arab history were shaped by his unique background as an English-born Arab Christian with roots in the Levant.","Faber & Faber",2012-06-01,,"history, middle east",,,598,,,,,,,,,,,,,2016-08-12,1
book,"Einstein: His Life and Universe","Walter Isaacson",Walter,Isaacson,9781847390547,1847390544,"EINSTEIN HIS LIFE AND UNIVERSE BY WALTER ISAACSON PUBLISHED BY POCKET BOOKS 2008. FANTASTIC BIOGRAPHY OF THE GENIUS THAT WAS EINSTEIN","Pocket Books",2008-04-26,,"biography, science",,,704,,,,,,,,,,,,,2016-08-12,1
book,"Postwar: A History of Europe Since 1945","Tony Judt",Tony,Judt,9780099542032,009954203X,"Postwar Europe in 1945 was prostrate. Much of the continent was devastated by war, mass slaughter, bombing and chaos. Large areas of Eastern Europe were falling under Soviet control, exchanging one despotism for another. This title tells the rich and complex story of how we got from there to here. Full description",Vintage,2010-06-03,,"europe, history, politics",,,960,,,,,,,,,,,,,2016-08-12,1
book,Montaillou,"Emmanuel Le Roy Ladurie",Emmanuel,Ladurie,9780140137002,0140137009,"An enthralling account of day-to-day life in a medieval French village. Using records gathered by the Catholic Church in its pursuit of heretics, the book recreates the lives of a rich cast of village characters.","Penguin Books, Limited (UK)",,,"france, great, history",,,381,,,,,,,,,,,,,2016-08-12,1
book,"Abraham Lincoln: The Prairie Years and the War Years","Carl Sandburg",Carl,Sandburg,9780156027526,0156027526,"Paperback.

Pub Date: 1962. Laurel Edition.

Three volumes.","Harvest Books",2002-11-01,,"america, history",,,762,,,,,,,,,,,,,2016-08-12,1
book,"The American Future: A History From The Founding Fathers To Barack Obama","Simon Schama",Simon,Schama,9780099520399,0099520397,"Focuses on issues facing Americans - the projection of power (&#039;American war&#039;); race, immigration and the problematic promise of e pluribus unum (&#039;American skin&#039;); the intensity of religious conviction in public life (&#039;American fervour&#039;); and the mystique of American land (&#039;American Space&#039;).",Vintage,2009-07-02,,"america, good, history",,,416,,,,,,,,,,,,,2016-08-12,1
book,"North Korea Undercover","John Sweeney",John,Sweeney,9780552170345,0552170348,,Corgi,2014-08-14,,"history, politics",,,400,,,,,,,,,,,,,2016-08-12,1
book,"History of the Peloponnesian War",Thucydides,Thucydides,Thucydides,9780140440393,0140440399,,"Penguin Books Ltd",,,"classics, history",,,,,,,,,,,,,,,,2016-08-12,1
book,"The Great Railway Bazaar: By Train Through Asia","Paul Theroux",Paul,Theroux,9780141038841,0141038845,"The Great Railway Bazaar Gives an account of the author's journey by rail through Asia. This work describes the many places, cultures, sights and sounds he experienced and the fascinating people he met. It also shows how he is drawn into conversation with fellow passengers, from Molesworth, while avoiding the forceful approaches of pimps and drug dealers. Full description",Penguin,2008-08-28,,"history, travel",,,384,,,,,,,,,,,,,2016-08-12,1
book,"Thinking of Answers: Questions in the Philosophy of Everyday Life","Professor A.C. Grayling",Professor,Grayling,9781408809532,1408809532,"Thought-provoking short essays by Britain&#039;s leading public philosopher that show us how to discover our own answers to life&#039;s challenges","Bloomsbury Paperbacks",2011-03-07,,philosophy,,,352,,,,,,,,,,,,,2016-08-12,1
book,"Consider The Lobster: Essays and Arguments: And Other Essays","David Foster Wallace",David,Wallace,9780349119526,034911952X,"A brilliant and hilarious new collection of essays from the award-winning author of the bestseller INFINITE JEST",Abacus,2007-06-21,,"culture, essays, society",,,352,,,,,,,,,,,,,2016-08-13,1
book,"Both Flesh And Not","David Foster Wallace",David,Wallace,9780141046754,0141046759,,Penguin,2013-09-05,,"culture, essays, society",,,336,,,,,,,,,,,,,2016-08-13,1
book,Mortality,"Christopher Hitchens",Christopher,Hitchens,9781848879232,1848879237,,"Atlantic Books",2013-10-03,,"memoir, society",,,128,,,,,,,,,,,,,2016-08-13,1
book,"Hitch 22: A Memoir","Christopher Hitchens",Christopher,Hitchens,9781843549222,1843549220,"The acid, hilarious, confessional, provocative bestselling memoirs of our greatest contrarian, and the author of God Is Not Great.","Atlantic Books",2010-12-04,,memoir,,,448,,,,,,,,,,,,,2016-08-13,1
book,Arguably,"Christopher Hitchens",Christopher,Hitchens,9780857892584,0857892584,,"Atlantic Books",2012-09-01,,"culture, essays, politics, society",,,816,,,,,,,,,,,,,2016-08-13,1
book,"The Islamist Phoenix","Loretta Napoleoni",Loretta,Napoleoni,9781609806286,160980628X,"Islamist Phoenix","Seven Stories Press",2014-12-02,,"middle east, politics",,,160,,,,,,,,,,,,,2016-08-13,1
book,"On Democracy (Yale Nota Bene)","Robert A Dahl",Robert,Dahl,9780300084559,0300084552,"Paperback. Pub Date: 2000 Pages: 224 in Publisher: Yale University Press The last half of the 20th century has been an era of democratic triumph of The main anti-democratic regimes - communist. Fascist Nazi - have disappeared and new democracies are emerging vigorously or tentatively throughout the world. In this book. one of the most prominent political theorists of our time provides a primer on democracy that clarifies what it is. why it is valuable. how it works. and what challenges it confronts in the future.","Yale University Press",2000-09-01,,politics,,,224,,,,,,,,,,,,,2016-08-13,1
book,"What are Universities For?","Stefan Collini",Stefan,Collini,9781846144820,1846144825,"What are Universities For? Across the world, universities are more numerous than they have ever been, yet at the same time there is unprecedented confusion about their purpose and skepticism about their value. This title offers an argument for rethinking the way we see our universities, and why we need them. Full description",Penguin,2012-02-23,,"education, philosophy, society",,,240,,,,,,,,,," Not begun"," "," ",2016-08-13,1
book,"Me Before You","Jojo Moyes",Jojo,Moyes,9780718157838,0718157834,"Lou Clark knows lots of things. She knows how many footsteps there are between the bus stop and home. She knows she likes working in The Buttered Bun tea shop and she knows she might not love her boyfriend Patrick. What Lou doesn&#039;t know is she&#039;s about to lose her job or that knowing what&#039;s coming is what keeps her sane. Will Traynor knows his motorcycle accident took away his desire to live. He knows everything feels very small and rather joyless now and he knows exactly how he&#039;s going to put a stop to that.What Will doesn&#039;t know is that Lou is about to burst into his world in a riot of colour. And neither of them knows they&#039;re going to change the other for all time.",Penguin,2012-01-02,,fiction,,,385,,,,,,,,,,,,,2016-08-13,1
book,"Blair Inc.: The Man Behind the Mask","Francis Beckett, David Hencke, Nick Kochan",Francis,Beckett,9781784183707,1784183709,"Edition John Blake Publishing Ltd., First Impression, 2015. ISBN: 978-1-78416-370-7. 374 pages, size: 16 x 24 x 3.5 cm. The new and unread book remains intact. Immaculate throughout. Text all clean, neat and tight. Prompt dispatch from UK.","John Blake Publishing Ltd",2015-03-19,,politics,,,288,,,,,,,,,,,,,2016-08-13,1
book,"Intuition Pumps and Other Tools for Thinking","Daniel C Dennett",Daniel,Dennett,9781846144752,1846144752,,"Allen Lane",2013-05-06,,philosophy,,,512,,,,,,,,,,,,,2016-08-13,1
book,"Religion for Atheists: A non-believer's guide to the uses of religion","Alain de Botton",Alain,Botton,9780141046310,0141046317,"Religion for Atheists Rejects the supernatural claims of religion and points out just how many good ideas they sometimes have about how we should live. This book shows us a range of ideas on a range of topics, including relationships, work, culture, love and death - and that could be of use to all of us, irrespective of whether we do or don&#039;t believe. Full description",Penguin,2013-02-07,,"philosophy, religion",,,330,,,,,,,,,,,,,2016-08-13,1
book,"The News: A User's Manual","Alain de Botton",Alain,Botton,9780241146477,024114647X,,"Hamish Hamilton",2014-02-06,,"philosophy, society",,,272,,,,,,,,,,,,,2016-08-13,1
book,"Matter and Consciousness","Paul M. Churchland",Paul,Churchland,9780262519588,0262519585,"In Matter and Consciousness, Paul Churchland presents a concise and contemporary overview of th....","MIT Press",2013-09-06,,"consciousness, mind, philosophy",,,240,,,,,,,,,,,,,2016-08-13,1
book,"Think: A Compelling Introduction to Philosophy","Simon Blackburn",Simon,Blackburn,9780192854254,0192854259,"A good reading copy.","Oxford University Press",2001-03-15,,philosophy,,,320,,,,,,,,,,,,,2016-08-13,1
book,"Law's Empire (Legal Theory)","Ronald M. Dworkin",Ronald,Dworkin,9781841130415,1841130419,"In this reprint of &quot;Law&#039;s Empire&quot;, Ronald Dworkin reflects on the nature of the law, its given authority, its application in democracy, the prominent role of interpretation in judgement, and the relations of lawmakers and lawgivers to the community on whose behalf they pronounce. For that community, &quot;Law&#039;s Empire&quot; provides a judicious and coherent introduction to the place of law in our lives.","Hart Publishing",1998-10-01,,"great, law, philosophy",,,484,,,,,,,,,,,,,2016-08-13,1
book,"Rawls (Routledge Philosophers): 1","Samuel Freeman",Samuel,Freeman,9780415301091,0415301092,"John Rawls was one of the most influential political philosophers of the 20th century. His writing o....",Routledge,2007-05-31,,"philosophy, politics",,,576,,,,,,,,,,,,,2016-08-13,1
book,"The God Argument: The Case Against Religion and for Humanism","Professor A. C. Grayling",Professor,Grayling,9781408837405,1408837404,"There has been a bad-tempered quarrel between defenders and critics of religion in recent years. Both sides have expressed themselves acerbically because there is a very great deal at stake in the debate. This book thoroughly and calmly examines all the arguments and associated considerations offered in support of religious belief, and does so in full consciousness of the reasons people have for subscribing to religion, and the needs they seek to satisfy by doing so. And because it takes account of all the issues, its solutions carry great weight. The God Argument is the definitive examination of the issue, and a statement of the humanist outlook that recommends itself as the ethics of the genuinely reflective person.","Bloomsbury Publishing",2013-03-14,,"philosophy, religion",,,288,,,,,,,,,,,,,2016-08-13,1
book,"The God of Philosophy: An Introduction to Philosophy of Religion","Roy Jackson",Roy,Jackson,9781844655014,1844655016,"For centuries philosophers have argued about the existence and nature of God. Do we need God to explain the origins of the universe? Can there be morality without a divine source of goodness? How can God exist when there is so much evil and suffering in the world? All these questions and many more are brought to life with clarity and style in The God of Philosophy. The arguments for and against God's existence are weighed up, along with discussion of the meaning of religious language, the concept of God and the possibility of life after death. This new edition brings the debate right up to date by exploring the philosophical arguments of the new atheists such as Richard Dawkins, as well as considering what the latest discoveries in science can tell us about why many believe in the existence of the divine.",Routledge,2011-10-25,,"philosophy, religion",,,192,,,,,,,,,,,,,2016-08-13,1
book,"Kant: Groundwork of the Metaphysics of Morals (Cambridge Texts in the History of Philosophy)",,,,9781107401068,1107401062,"Published in 1785, Immanuel Kant&#039;s Groundwork of the Metaphysics of Morals ranks alongside Plato&#039;s Republic and Aristotle&#039;s Nicomachean Ethics as one of the most profound and influential works in moral philosophy ever written. In Kant&#039;s own words, its aim is to identify and corroborate the supreme principle of morality, the categorical imperative. He argues that human beings are ends in themselves, never to be used by anyone merely as a means, and that universal and unconditional obligations must be understood as an expression of the human capacity for autonomy and self-governance. As such, they are laws of freedom. This volume contains Mary Gregor&#039;s acclaimed translation of the text into English, revised by Jens Timmermann, and an accessible, updated introduction by Christine Korsgaard.","Cambridge University Press",2012-04-19,,"ethics, philosophy",,,130,,,,,,,,,,,,,2016-08-13,1
book,"Ludwig Wittgenstein","Ray Monk",Ray,Monk,9780099883708,0099883708,"&#039;Monk&#039;s energetic enterprise is remarkable for the interleaving of the philosophical and the emotional aspects of Wittgenstein&#039;s life&#039; Sunday Times &#039;Ray Monk&#039;s reconnection of Wittgenstein&#039;s philosophy with his life triumphantly carries out the Wittgensteinian task of &quot;changing the aspect&quot; of Wittgenstein&#039;s work, getting us to see it in a new way&#039; Sunday Telegraph &#039;This biography transforms Wittgenstein into a human being&#039; Independent on Sunday &#039;It is much to be recommended&#039; Observer &#039;Monk&#039;s biography is deeply intelligent, generous to the ordinary reader... It is a beautiful portrait of a beautiful life&#039; Guardian","Random House",,,"philosophy, wittgenstein",,,654,,,,,,,,,,,,,2016-08-13,1
book,"On Liberty and Other Essays (Oxford World's Classics)","John Stuart Mill",John,Mill,9780199535736,0199535736,,"Oxford Paperbacks",2008-04-17,,"philosophy, politics",,,640,,,,,,,,,,,,,2016-08-13,1
book,"Ethics: Inventing Right and Wrong","J.L. Mackie",J.L.,Mackie,9780140135589,0140135588,Ethics,Penguin,1990-08-30,,"ethics, philosophy",,,256,,,,,,,,,,,,,2016-08-13,1
book,"Justice for Hedgehogs","Ronald Dworkin",Ronald,Dworkin,9780674072251,0674072251,"The fox knows many things, the Greeks said, but the hedgehog knows one big thing. In his most compre....","Harvard University Press",2013-02-26,,"law, philosophy",,,528,,,,,,,,,,,,,2016-08-13,1
book,"Persian Letters (Oxford World's Classics)",Montesquieu,Montesquieu,Montesquieu,9780192806352,0192806351,"Persian Letters (Oxford World's Classics)","OUP Oxford",2008-04-17,,"fiction, philosophy",,,320,,,,,,,,,,,,,2016-08-13,1
book,"Zen and the Art of Motorcycle Maintenance: An Inquiry into Values",,,,9780099786405,0099786400,,,,,philosophy,,,,,,,,,,,,,,,,2016-08-13,1
